;oil_urals;gdp_quart;gdp_quart_growth;cpi;ppi;gdp_deflator;balance_trade;balance_trade_growth;usdrub;eurrub;brent;net_capital_export;gdp_annual;gdp_annual_growth;average_provision_of_build_contract;average_provision_of_build_contract_moscow;rts;micex;micex_rgbi_tr;micex_cbi_tr;deposits_value;deposits_growth;deposits_rate;mortgage_value;mortgage_growth;mortgage_rate;grp;grp_growth;income_per_cap;real_dispos_income_per_cap_growth;salary;salary_growth;fixed_basket;retail_trade_turnover;retail_trade_turnover_per_cap;retail_trade_turnover_growth;labor_force;unemployment;employment;invest_fixed_capital_per_cap;invest_fixed_assets;profitable_enterpr_share;unprofitable_enterpr_share;share_own_revenues;overdue_wages_per_cap;fin_res_per_cap;marriages_per_1000_cap;divorce_rate;construction_value;invest_fixed_assets_phys;pop_natural_increase;pop_migration;pop_total_inc;childbirth;mortality;housing_fund_sqm;lodging_sqm_per_cap;water_pipes_share;baths_share;sewerage_share;gas_share;hot_water_share;electric_stove_share;heating_share;old_house_share;average_life_exp;infant_mortarity_per_1000_cap;perinatal_mort_per_1000_cap;incidence_population;rent_price_4+room_bus;rent_price_3room_bus;rent_price_2room_bus;rent_price_1room_bus;rent_price_3room_eco;rent_price_2room_eco;rent_price_1room_eco;load_of_teachers_preschool_per_teacher;load_of_teachers_school_per_teacher;students_state_oneshift;provision_doctors;provision_nurse;load_on_doctors;power_clinics;hospital_beds_available_per_cap;hospital_bed_occupancy_per_year;provision_retail_space_sqm;provision_retail_space_modern_sqm;turnover_catering_per_cap;theaters_viewers_per_1000_cap;seats_theather_rfmin_per_100000_cap;museum_visitis_per_100_cap;bandwidth_sports;population_reg_sports_share;students_reg_sports_share;apartment_build;apartment_fund_sqm
oil_urals;1;-0.443855325;0.723601416;-0.730892761;-0.567824745;-0.831244968;0.756506618;0.089045983;-0.896539063;-0.870996659;0.994865271;0.739093797;-0.466690612;0.595329485;0.008522243;-0.597974596;0.793045506;-0.597441741;0.484666728;-0.626604917;-0.63117605;-0.028001014;-0.754837954;-0.144630447;0.632358328;-0.584762288;0.428092117;0.150744037;-0.244444981;-0.146695737;-0.30587778;0.696153551;-0.701435796;-0.156666073;-0.124743954;0.721912735;-0.177522155;-0.561655698;-0.143608181;-0.211712248;-0.226996417;-0.124777198;0.124777198;-0.348108145;0.640866956;0.058191283;0.074671658;-0.521675669;0.165264067;0.549537899;0.150652881;-0.592453031;-0.514469347;-0.238025131;-0.373185742;0.414190817;0.475169281;-0.395170896;-0.395170896;-0.436678969;-0.349491635;-0.384489167;-0.316364611;-0.395170896;0.395170896;-0.037305773;0.499426019;0.433009226;0.141931249;-0.491173018;-0.551605114;-0.502526001;0.038259956;-0.289784617;-0.054832858;0.079385484;0.807779261;-0.442690748;-0.142825224;0.79555754;0.541057825;0.828428155;0.216692829;0.448397935;0.431279131;0.097438653;-0.938379586;-0.280725423;0.737900175;0.046689506;0.81043688;-0.828356839;-0.397693596;0.461720787;0.385645251;-0.582654793
gdp_quart;-0.443855325;1;-0.730279302;0.831980828;0.870778965;0.854640778;-0.197946296;0.155917266;0.711288606;0.730896304;-0.449051483;-0.577075072;0.921975107;0.190069401;0.789152152;0.388703092;-0.746290756;0.354669949;-0.458993715;0.817759652;0.883214141;-0.106324162;0.695846275;0.551237275;-0.766369935;0.080472295;0.916308235;-0.672753555;0.394508282;-0.470715756;0.915560142;-0.704541012;0.839860633;0.911113673;0.903745859;-0.652463436;0.922001478;0.045462398;0.892181143;0.913855793;0.914235848;-0.792701247;0.792701247;0.4068419;0.702668453;-0.627269191;-0.01250431;-0.583021306;0.839647948;0.189090406;0.831048069;-0.537058755;-0.404644965;0.880010064;-0.627915082;0.874461245;0.794024764;-0.821177513;-0.821177513;-0.818319296;-0.812292793;-0.833846233;-0.192426894;-0.821177513;0.821177513;0.884837175;0.288904173;0.558807043;-0.663116198;0.332777331;0.658252621;0.796017042;0.514678068;0.748906855;0.260813239;0.297075002;0.911501719;0.87753819;0.116492404;0.670525287;-0.806625943;-0.329420294;-0.542828254;-0.785368509;-0.83173187;0.752034062;-0.830438559;0.919949027;0.914008155;0.654631591;0.899688294;0.827409438;0.79171508;0.777215232;0.851396354;0.194324134
gdp_quart_growth;0.723601416;-0.730279302;1;-0.900037665;-0.866393129;-0.850158935;0.459567687;-0.005716461;-0.838880154;-0.836105243;0.725697215;0.656284377;-0.826775695;0.171248705;-0.442052325;-0.441038115;0.806666142;-0.488828841;0.438902571;-0.844784655;-0.886785518;0.121930927;-0.615683653;-0.304718575;0.854674701;-0.406789817;-0.790186674;0.328111552;-0.427057905;0.155635845;-0.832084436;0.608729943;-0.905874685;-0.740303581;-0.721303257;0.814057866;-0.737462433;-0.503590216;-0.682680813;-0.760871162;-0.76917456;0.793412291;-0.793412291;-0.616637013;-0.630123032;0.754301245;-0.11521983;0.028625445;-0.840888483;0.351591123;-0.521392144;0.274733368;0.175546999;-0.716294867;0.282410242;-0.666568539;-0.499329978;0.582783742;0.582783742;0.562461159;0.820761373;0.621737534;-0.105881966;0.582783742;-0.582783742;-0.683685992;0.044052754;-0.202918469;0.780858647;-0.434841113;-0.719756475;-0.656901955;-0.172553578;-0.558793467;-0.143216448;9.57E-05;-0.477324635;-0.810455525;-0.151108294;-0.27862506;0.787263381;0.588804491;0.610634305;0.843668682;0.811687439;0.074724222;0.085459244;-0.797919617;-0.624390971;-0.39833842;-0.622530818;-0.885556247;-0.890549041;-0.826482615;-0.66910864;-0.236728755
cpi;-0.730892761;0.831980828;-0.900037665;1;0.966001347;0.954042793;-0.541112112;0.044093746;0.918335397;0.916164137;-0.729878956;-0.744480206;0.919225212;-0.078101438;0.57577517;0.578484314;-0.849594144;0.651692039;-0.45473185;0.965641177;0.983449882;-0.149759612;0.688007368;0.381292725;-0.733816309;0.258716058;0.971986493;-0.594723791;0.454657982;-0.535350477;0.938659075;-0.775167841;0.99720449;0.867138071;0.850252495;-0.881204849;0.885028379;0.258968207;0.849699159;0.880697062;0.887494404;-0.925458224;0.925458224;0.479558332;0.701914404;-0.802535961;0.115406218;-0.500862771;0.94073257;0.024446727;0.693556854;-0.574818896;-0.461023962;0.858654882;-0.461297941;0.875445966;0.747490687;-0.803210713;-0.803210713;-0.789522774;-0.922293387;-0.825342261;-0.040161899;-0.803210713;0.803210713;0.822896224;0.14001043;0.458493781;-0.795079382;0.506488074;0.690299291;0.64601306;0.203442406;0.53800752;0.154783962;0.050299853;0.919422876;0.954517398;0.121043536;0.60638635;-0.919240459;-0.616472278;-0.609252022;-0.948460039;-0.961831763;0.815451194;-0.931069592;0.918267167;0.961127766;0.622651833;0.952959755;0.96920172;0.937237861;0.902424821;0.853121631;0.405484533
ppi;-0.567824745;0.870778965;-0.866393129;0.966001347;1;0.936733575;-0.405614741;0.068914495;0.822142543;0.820749967;-0.568035589;-0.717955266;0.943440706;0.132647993;0.698802174;0.590038036;-0.77559723;0.583815341;-0.414301636;0.940571375;0.9662594;-0.156929176;0.658659179;0.451210565;-0.77179504;0.114326664;0.945356989;-0.686845751;0.452543718;-0.53194399;0.937486474;-0.79725359;0.963625062;0.895106042;0.883509842;-0.802975806;0.918226056;0.069546225;0.887925524;0.903227761;0.906551346;-0.806068609;0.806068609;0.290155801;0.76531154;-0.632820425;0.078001885;-0.646389315;0.833748149;0.255396517;0.817148633;-0.665249035;-0.54219801;0.896162357;-0.618624472;0.880555866;0.80496621;-0.821930596;-0.821930596;-0.823847581;-0.857238968;-0.833191716;-0.177281904;-0.821930596;0.821930596;0.891900724;0.310740557;0.565003379;-0.6154693;0.491921779;0.708566115;0.674519982;0.264349109;0.604631756;0.192463558;0.101583097;0.942706501;0.938843941;0.163615807;0.773024543;-0.868517552;-0.469183652;-0.455319191;-0.853692689;-0.895967505;0.747291142;-0.911638946;0.926774657;0.930182565;0.740441982;0.939415055;0.928300929;0.847338624;0.758269262;0.851333322;0.41116267
gdp_deflator;-0.831244968;0.854640778;-0.850158935;0.954042793;0.936733575;1;-0.62424879;-0.011911832;0.861501908;0.854419048;-0.830136241;-0.748527583;0.984821274;-0.906180344;0.471352656;0.466313436;-0.884236159;0.480107378;-0.365375353;0.944670454;0.980952518;-0.086547875;0.679286936;0.273068235;-0.775269631;0.584309986;0.961796102;-0.782523768;0.330496237;-0.224898185;0.975247942;-0.8044139;0.961950499;0.930812888;0.905888075;-0.78299311;0.946548978;0.535967711;0.857397591;0.972986315;0.977087891;-0.851829802;0.851829802;0.99293792;0.438980271;-0.718774646;-0.35541206;-0.211483949;0.979241699;-0.248157452;0.893846188;0.315748197;0.406638765;0.925856033;0.244622875;0.946841588;0.788902537;-0.879624559;-0.879624559;-0.853649364;-0.741152392;-0.907842459;-0.175498145;-0.879624559;0.879624559;0.904404751;0.098956132;0.490299698;-0.962706654;0.496470201;0.649353333;0.675137408;0.263098298;0.565930665;0.142814154;0.066367197;0.953815386;0.931392199;0.220494402;-0.718676476;-0.89934967;-0.600428691;-0.978366145;-0.89184683;-0.946670293;1;;0.98890243;0.999995993;0.107222271;0.952380023;0.942390102;0.924476273;0.939338823;0.936639833;0.228986769
balance_trade;0.756506618;-0.197946296;0.459567687;-0.541112112;-0.405614741;-0.62424879;1;0.492846462;-0.663685477;-0.641429899;0.754516202;0.763657318;-0.267302717;0.550059839;0.083975778;-0.558977377;0.509340502;-0.593599472;0.08511371;-0.513293752;-0.477440159;0.070334612;-0.383807517;-0.082302044;0.355353203;-0.316217526;0.461360941;-0.110601082;-0.131886235;-0.284998535;0.047967793;0.350895132;-0.513965099;0.152409271;0.174225374;0.321308635;0.141153398;-0.362895787;0.16977104;0.10137707;0.091659966;-0.332078221;0.332078221;-0.03694646;0.441959583;-0.223988531;0.097358965;-0.401298379;0.333408919;0.249990659;0.306369311;-0.455192836;-0.395364218;0.055495746;-0.414370938;0.415069319;0.401811666;-0.384293132;-0.384293132;-0.396773979;-0.414445857;-0.384543276;-0.113235926;-0.384293132;0.384293132;0.211626532;0.217457461;0.29686628;-0.165745216;-0.309307589;-0.197599645;-0.178380888;0.185644384;0.040253635;0.035045245;0.177028981;0.531318841;-0.047820968;-0.185209259;0.525702588;0.115831375;0.426729508;-0.070304908;-0.106225502;-0.116970265;0.100828039;-0.654460244;0.061984711;0.492776467;0.203858817;0.528930875;-0.391893423;0.098403548;0.328620652;0.391058811;-0.375570314
balance_trade_growth;0.089045983;0.155917266;-0.005716461;0.044093746;0.068914495;-0.011911832;0.492846462;1;0.024706899;0.03203843;0.094831348;0.231198498;0.198159958;0.279969858;0.257962109;-0.178117983;-0.09451895;-0.11482742;-0.517683672;-0.019453268;0.041655753;-0.008574641;0.348211068;-0.102802609;-0.036333164;0.182685621;0.372598525;-0.151821019;-0.127010803;-0.420662693;0.377354432;-0.297833266;0.076770187;0.355027813;0.350873094;-0.365836861;0.384917447;-0.05520566;0.392059893;0.346692745;0.348967309;-0.327197768;0.327197768;-0.016353737;0.215931274;-0.253839514;0.107918441;-0.41538164;0.28205271;0.202621061;0.336271892;-0.403074565;-0.368401635;0.359963275;-0.251441397;0.319876252;0.297906368;-0.295423083;-0.295423083;-0.296565378;-0.324472607;-0.291669111;-0.0213618;-0.295423083;0.295423083;0.372825594;0.073669829;0.206324779;-0.18565419;0.138470236;0.206006443;0.181871101;0.074847468;0.286849636;0.160511723;0.04421423;0.378986205;0.424314368;-0.023059573;0.389098697;-0.401838626;-0.291650718;-0.102226725;-0.128283928;-0.147833817;0.174102266;-0.733587586;0.369612288;0.299457306;0.394172156;0.324993701;0.288199487;0.071428401;0.08548564;0.289535657;0.278648336
usdrub;-0.896539063;0.711288606;-0.838880154;0.918335397;0.822142543;0.861501908;-0.663685477;0.024706899;1;0.990831727;-0.896301104;-0.721583005;0.753146498;-0.2601676;0.350078535;0.592794957;-0.881679391;0.680537273;-0.562066349;0.845570294;0.86835943;-0.037595541;0.759179469;0.304582864;-0.660633094;0.356323915;0.567971611;-0.390768977;0.415074962;-0.516016348;0.712317014;-0.745503384;0.906887629;0.590366202;0.564749248;-0.922320323;0.623130056;0.350019614;0.590486037;0.624500029;0.636141617;-0.70020708;0.70020708;0.460615421;0.190050972;-0.692839127;0.127217585;-0.253181772;0.650676176;-0.181725415;0.37820189;-0.267256573;-0.231656285;0.646617429;-0.141943506;0.479205949;0.350353963;-0.430310142;-0.430310142;-0.39804657;-0.565685492;-0.448161276;0.165666016;-0.430310142;0.430310142;0.534824408;-0.170752173;0.141733717;-0.678698571;0.477552234;0.597891933;0.58183766;0.067934662;0.406335187;0.097527282;-0.003993384;0.395962654;0.81122967;0.142682825;0.139940156;-0.827476444;-0.80146499;-0.542476976;-0.670684775;-0.677292154;0.537335873;0.398136358;0.68532954;0.460887828;0.441950404;0.365545125;0.868943635;0.611507693;0.546961984;0.463750615;0.577563764
eurrub;-0.870996659;0.730896304;-0.836105243;0.916164137;0.820749967;0.854419048;-0.641429899;0.03203843;0.990831727;1;-0.870372846;-0.699119086;0.755958085;-0.249558454;0.383763544;0.557000073;-0.871384824;0.672756206;-0.576179541;0.849998586;0.8734174;-0.052512027;0.738461619;0.339101003;-0.627024375;0.305923294;0.606227164;-0.25674847;0.418767246;-0.55430544;0.736332918;-0.686106485;0.90665604;0.627771042;0.607590026;-0.869528379;0.653931972;0.372391661;0.633721402;0.637988716;0.649077448;-0.759551546;0.759551546;0.397151313;0.235624735;-0.786909215;0.31265488;-0.179181661;0.667524487;-0.305568536;0.399071977;-0.382929819;-0.36282789;0.625437331;-0.186138581;0.435529108;0.270642252;-0.35950265;-0.35950265;-0.326458528;-0.660846303;-0.384709528;0.334801424;-0.35950265;0.35950265;0.57191715;-0.310957455;0.007067827;-0.685912427;0.483842001;0.586625385;0.603098567;0.115047726;0.420275568;0.11063851;0.018370015;0.232381927;0.812405815;0.027991573;0.173258094;-0.830571936;-0.780680437;-0.471500687;-0.729047554;-0.702993147;-0.455417077;-0.227261699;0.699566301;0.31827969;0.449827932;0.355897482;0.875553676;0.655819009;0.447800671;0.412035753;0.506565699
