iter	RMSE
0	6.321708918
1	6.133856769
2	5.951838614
3	5.774967341
4	5.603492476
5	5.437406752
6	5.276413212
7	5.120196826
8	4.968552094
9	4.821257507
10	4.678421571
11	4.54038611
12	4.406111883
13	4.275948375
14	4.149713388
15	4.027246649
16	3.908497083
17	3.793479535
18	3.681968825
19	3.573722394
20	3.468770329
21	3.367431059
22	3.268736026
23	3.173400248
24	3.080560464
25	2.990925205
26	2.903898316
27	2.819839464
28	2.738240076
29	2.659142523
30	2.582406705
31	2.507745515
32	2.435692056
33	2.365986321
34	2.298151194
35	2.232509658
36	2.169394567
37	2.107785445
38	2.047965201
39	1.989967611
40	1.934016712
41	1.879761437
42	1.82724186
43	1.776219727
44	1.727208053
45	1.679600187
46	1.633591507
47	1.5888274
48	1.545536664
49	1.50366959
50	1.463126529
51	1.423822392
52	1.385935347
53	1.349181548
54	1.314058285
55	1.279668266
56	1.246472699
57	1.214330666
58	1.183278776
59	1.153352174
60	1.124393247
61	1.096503102
62	1.06955109
63	1.043507527
64	1.01826569
65	0.9941009776
66	0.9706916268
67	0.9486033276
68	0.9268247616
69	0.9058599016
70	0.8857798416
71	0.866174879
72	0.8474290394
73	0.8293292811
74	0.8118466304
75	0.7951069536
76	0.7789579735
77	0.7634302039
78	0.7484516033
79	0.7341681181
80	0.7203473126
81	0.7072782376
82	0.6944459144
83	0.682403234
84	0.6707500257
85	0.6595963101
86	0.6487539481
87	0.6384443694
88	0.6284855469
89	0.6188582385
90	0.6098500496
91	0.601198959
92	0.5929156364
93	0.5849681763
94	0.5774818728
95	0.5702721546
96	0.5632484212
97	0.5565400158
98	0.5502631533
99	0.5441666789
100	0.5382994477
101	0.5327752514
102	0.5276391197
103	0.5226214435
104	0.517838139
105	0.5132506944
106	0.508847858
107	0.5046086756
108	0.5008040072
109	0.4969578156
110	0.4934484373
111	0.490147175
112	0.4868722584
113	0.4838647711
114	0.4809361561
115	0.4782286931
116	0.47544572
117	0.4728131572
118	0.470430853
119	0.4680815004
120	0.4658594681
121	0.4637710997
122	0.4618699362
123	0.4599799384
124	0.4582998981
125	0.4566417469
126	0.4550853684
127	0.4533815577
128	0.4517885244
129	0.4504269472
130	0.4490560677
131	0.447839795
132	0.4465784657
133	0.4453828003
134	0.4443173971
135	0.4432568287
136	0.4422056118
137	0.4412973999
138	0.4403055763
139	0.4394352399
140	0.4385129768
141	0.4377758126
142	0.4369416261
143	0.4362342649
144	0.4355826376
145	0.4348861317
146	0.4342486593
147	0.4336527001
148	0.4330806557
149	0.4324899004
150	0.4319069778
151	0.4314220008
152	0.4309022885
153	0.4304032315
154	0.4298769615
155	0.429376706
156	0.4289573425
157	0.4285453415
158	0.4280980677
159	0.4276849318
160	0.4273036928
161	0.4269550445
162	0.4266468537
163	0.4263495121
164	0.4260227151
165	0.4256977505
166	0.4253682569
167	0.4250332846
168	0.4247088745
169	0.4244076994
170	0.4241525856
171	0.4238463929
172	0.4236025293
173	0.4233299056
174	0.4231188347
175	0.4228694909
176	0.4226470676
177	0.4224354791
178	0.4221965868
179	0.421991569
180	0.4217834169
181	0.4216093675
182	0.4214335541
183	0.4211978058
184	0.4210280244
185	0.4208654678
186	0.4206752417
187	0.4205069878
188	0.4203496875
189	0.420197814
190	0.4200348934
191	0.4198744707
192	0.4197206708
